Title,Rating,Price,Link,Specifications
,,,,Office Home and Student 2019 included
,,,,1 Year Warranty Term
,,
MSI Stealth 15M Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 30...,,"Rs. 1,34,990",https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/i/h/u/stealth-15m-a11uek-227in-notebook-msi-original-imag2q57shrhyszs.jpeg?q=70,Intel Core i7 Processor (11th Gen)
,,,,16 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,1 TB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,"Silver-Lining Print, Cooler Boost, Audio Boost, Dragon Center, Nahimic 3"
,,,,2 Year Warranty Term for Gaming & Content Creation (EU-WE)
,,
HP 15s Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15s-FQ2072TU Thin and Light Laptop,,"Rs. 45,990",https://rukminim1.flixcart.com/image/312/312/kl5hh8w0/computer/c/j/8/hp-original-imagyckn3hqfgp4y.jpeg?q=70,Intel Core i3 Processor (11th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,512 GB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,"Microsoft Office Home and Student 2019, HP Documentation, HP CoolSense, HP SSRM, HP Smart, HP Support Assistant"
,,,,1 Year Onsite Warranty
,,
ASUS Core i3 10th Gen - (8 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) X515JA-EJ362TS Thin and Light...,,"Rs. 41,990",https://rukminim1.flixcart.com/image/312/312/kjlrb0w0/computer/a/k/b/asus-original-imafz522ntfk9hwx.jpeg?q=70,Intel Core i3 Processor (10th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,512 GB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,"Microsoft Office Home and Student 2019, System Diagnosis (All models), Splendid (All Models), Tru2Life (Intel Platform Models), Keyboard Hotkeys (All Models), AppDeals (All Models), Link to MyASUS (All Models, Bluetooth Needed)"
,,,,1 Year Onsite Warranty
,,
acer Aspire 5 Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) A515-56 Thin and Light Laptop,,"Rs. 38,990",https://rukminim1.flixcart.com/image/312/312/knhsgi80/computer/u/y/4/na-thin-and-light-laptop-acer-original-imag25zfahpqmyjm.jpeg?q=70,Intel Core i3 Processor (11th Gen)
,,,,4 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,256 GB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,"Acer Care Center, Quick Access, Acer Product Registration"
,,,,1 Year International Travelers Warranty (ITW)
,,
lenovo Ideapad Slim 5i Core i5 11th Gen Intel EVO - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15ITL05...,,"Rs. 68,500",https://rukminim1.flixcart.com/image/312/312/klfhk7k0/computer/w/u/x/na-thin-and-light-laptop-lenovo-original-imagyk4hedcydqx5.jpeg?q=70,Intel Evo platform feat 11th Gen Intel Core i5 processor
,,,,Intel Core i5 Processor (11th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,1 TB HDD|256 GB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,Microsoft Office Home and Student 2019
,,,,1 Year Onsite Warranty
,,
DELL Inspiron Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) Inspiron 3501 Laptop,,"Rs. 39,890",https://rukminim1.flixcart.com/image/312/312/kj0bp8w0/computer/2/z/z/dell-original-imafyzfnanchbecz.jpeg?q=70,Intel Core i3 Processor (10th Gen)
,,,,4 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,256 GB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,Microsoft Office Home and Student 2019
,,,,1 Year Onsite Warranty
,,
HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14-dv0054TU Thin and Light Laptop,,"Rs. 66,990",https://rukminim1.flixcart.com/image/312/312/kl9rssw0/computer/v/n/e/hp-original-imagyfmhb29hsg6g.jpeg?q=70,Intel Core i5 Processor (11th Gen)
,,,,16 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,512 GB SSD
,,,,35.56 cm (14 inch) Display
,,,,"Microsoft Office Home and Student 2019, HP Documentation, HP Smart, HP BIOS Recovery, HP Support Assistant, Dropbox"
,,,,1 Year Onsite Warranty
,,
MSI GF63 Thin Hexa Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA G...,,"Rs. 59,990",https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/x/l/i/gf63-thin-10scxr-1616in-notebook-msi-original-imag2q55h6w2avfr.jpeg?q=70,Intel Hexa Core i5 Processor (10th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,1 TB HDD|256 GB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,"Silver-Lining Print, Cooler Boost, Audio Boost, Dragon Center, Nahimic 3"
,,,,2 Year Warranty Term for Gaming & Content Creation (EU-WE)
,,
MSI Modern 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B11MO-093IN Thin and Ligh...,,"Rs. 54,990",https://rukminim1.flixcart.com/image/312/312/klzhq4w0/computer/s/k/x/na-thin-and-light-laptop-msi-original-imagyzpcazfbmhjp.jpeg?q=70,Intel Core i5 Processor (11th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,512 GB SSD
,,,,35.56 cm (14 inch) Display
,,,,"Cooler Boost, Hi-Res Audio, Nahimic 3, MSI Center"
,,,,1 Year Carry in Warranty
,,
Lenovo APU Dual Core A9 A99425 - (4 GB/1 TB HDD/Windows 10) E41-45 Notebook,,"Rs. 28,000",https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/computer/o/0/q/na-gaming-laptop-lenovo-original-imag4jpdnbjaqyp4.jpeg?q=70,AMD APU Dual Core A9 Processor
,,,,4 GB DDR4 RAM
,,,,64 bit DOS Operating System
,,,,1 TB HDD
,,,,35.56 cm (14 inch) Display
,,,,1 Year Onsite Warranty
,,
acer Aspire 7 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce ...,,"Rs. 56,990",https://rukminim1.flixcart.com/image/312/312/klcmoi80/computer/q/e/3/na-gaming-laptop-acer-original-imagyhwfgwhkf3vv.jpeg?q=70,Free upgrade to Windows 11 when available
,,,,AMD Ryzen 5 Hexa Core Processor
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,512 GB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,"Acer Collection , Acer Product Registration, Acer Care Center, Quick Access"
,,,,1 Year International Travelers Warranty (ITW)
,,
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce G...,,"Rs. 61,990",https://rukminim1.flixcart.com/image/312/312/kjn6qvk0/computer/p/2/g/asus-original-imafz6ajgthumxrg.jpeg?q=70,Intel Core i5 Processor (10th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,512 GB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,NA
,,,,1 Year Onsite Warranty
,,
MSI Prestige 14 EVO Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) Prestige 14 Evo A11M-436IN T...,,"Rs. 79,990",https://rukminim1.flixcart.com/image/312/312/klzhq4w0/computer/v/u/l/na-thin-and-light-laptop-msi-original-imagyzqagngnrnzh.jpeg?q=70,Intel Core i5 Processor (11th Gen)
,,,,16 GB LPDDR4X RAM
,,,,64 bit Windows 10 Operating System
,,,,512 GB SSD
,,,,35.56 cm (14 inch) Display
,,,,"Cooler Boost 3, Finger Print Security, True Color 2.0, Hi-Res Audio, Nahimic 3, MSI Center"
,,,,1 Year Carry in Warranty
,,
Title,Rating,Price,Link,Specifications
"Lenovo IdeaPad 3 Core i3 10th Gen - (4 GB/256 GB, NA SSD/Windows 10 Home) 15IML05 Thin and Light Lapto...",4.2,"Rs. 37,990",https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70,Intel Core i3 Processor (10th Gen)
,,,,4 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,"256 GB, NA SSD"
,,,,39.62 cm (15.6 inch) Display
,,,,Office Home and Student 2019 included
,,,,1 Year Warranty Term
,,
Lenovo ThinkPad E14 Gen2 Ryzen 5 Hexa Core 4650U 5th Gen - (8 GB/256 GB SSD/Windows 10 Home) E14 Lapto...,4.4,"Rs. 53,990",https://rukminim1.flixcart.com/image/312/312/knqd3m80/computer/b/n/w/thinkpad-e14-laptop-lenovo-original-imag2chrjgzzggrv.jpeg?q=70,AMD Ryzen 5 Hexa Core Processor (5th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,256 GB SSD
,,,,35.56 cm (14 inch) Display
,,,,Microsoft Office Home & Student 2019
,,,,1 Year Onsite Warranty
,,
ASUS TUF Gaming A17 Ryzen 7 Octa Core 4800H - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics...,4.6,"Rs. 88,990",https://rukminim1.flixcart.com/image/312/312/kamtsi80/computer/g/k/n/asus-original-imafs5qf3f5cdp5t.jpeg?q=70,AMD Ryzen 7 Octa Core Processor
,,,,16 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,1 TB HDD|256 GB SSD
,,,,43.94 cm (17.3 inch) Display
,,,,1 Year Onsite Warranty
,,
MSI Modern 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B10MW-423IN Laptop,4.5,"Rs. 49,990",https://rukminim1.flixcart.com/image/312/312/kjabs7k0/computer/z/d/6/msi-original-imafywfypuwbubmn.jpeg?q=70,Intel Core i5 Processor (10th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,512 GB SSD
,,,,35.56 cm (14 inch) Display
,,,,"Cooler Boost, Nahimic 3, Creator Center"
,,,,1 Year Carry In Warranty
,,
Lenovo IdeaPad Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14 IML 05 Thin and Light Laptop,4.2,"Rs. 39,990",https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70,Intel Core i3 Processor (10th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,256 GB SSD
,,,,35.56 cm (14 Inch) Display
,,,,Microsoft Office Home and Student 2019
,,,,1 Year Onsite Warranty
,,
DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10) Inspiron 5410 2 in 1 Laptop,4.5,"Rs. 69,990",https://rukminim1.flixcart.com/image/312/312/kqb8pzk0/computer/d/j/c/na-2-in-1-laptop-dell-original-imag4dy68bwtg8j9.jpeg?q=70,Intel Core i5 Processor (11th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,512 GB SSD
,,,,35.56 cm (14 Inch) Touchscreen Display
,,,,Microsoft Office Home and Student 2019
,,,,1 Year Onsite Warranty
,,
Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15IML05 Thin and Light Laptop,4.2,"Rs. 39,990",https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70,Intel Core i3 Processor (10th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,1 TB HDD
,,,,39.62 cm (15.6 inch) Display
,,,,Microsoft Office Home and Student 2019
,,,,1 Year Warranty Term
,,
Lenovo Legion Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics) Y540-15IRH-PG...,4.2,"Rs. 59,990",https://rukminim1.flixcart.com/image/312/312/k9pynww0/computer/y/k/z/lenovo-legion-y540-gaming-laptop-original-imafrggru5fzzgyq.jpeg?q=70,Intel Core i5 Processor (9th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,1 TB HDD|256 GB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,Microsoft Office (Trial Only)
,,,,1 Year Onsite Warranty
,,
HP 15s Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) 15s-gr0500AU Thin and Light Laptop,4.3,"Rs. 47,990",https://rukminim1.flixcart.com/image/312/312/kqttg280/computer/a/p/c/na-thin-and-light-laptop-hp-original-imag4r6xquheeasd.jpeg?q=70,AMD Ryzen 5 Quad Core Processor
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,512 GB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,McAfee LiveSafe
,,,,1 Year Onsite Warranty
,,
ASUS Core i5 10th Gen - (8 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) X515JA-EJ562TS Thin and Light...,4.2,"Rs. 53,990",https://rukminim1.flixcart.com/image/312/312/kjlrb0w0/computer/a/k/b/asus-original-imafz522ntfk9hwx.jpeg?q=70,Intel Core i5 Processor (10th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,512 GB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,"Microsoft Office Home and Student 2019, System Diagnosis (All models), Splendid (All Models), Tru2Life (Intel Platform Models), Keyboard Hotkeys (All Models), AppDeals (All Models), Link to MyASUS (All Models, Bluetooth Needed)"
,,,,1 Year Onsite Warranty
,,
ASUS ROG Strix G15 (2021) Advantage Edition Ryzen 9 Octa Core 5900HX - (16 GB/1 TB SSD/Windows 10 Home...,4.6,"Rs. 1,54,990",https://rukminim1.flixcart.com/image/312/312/ks7tuvk0/computer/t/j/v/g513qy-hq008ts-gaming-laptop-asus-original-imag5tthdvxrbrnv.jpeg?q=70,AMD Ryzen 9 Octa Core Processor
,,,,16 GB DDR4 RAM
,,,,Windows 10 Operating System
,,,,1 TB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,Office Home and Student 2019 included
,,,,1 Year Onsite Warranty
,,
lenovo Yoga 7 Core i7 11th Gen Intel EVO - (16 GB/512 GB SSD/Windows 10 Home) 14ITL5 2 in 1 Laptop,4.7,"Rs. 97,990",https://rukminim1.flixcart.com/image/312/312/kkimfm80/computer/q/g/o/na-2-in-1-laptop-lenovo-original-imafzua4zhhpyyz8.jpeg?q=70,Intel Evo platform feat 11th Gen Intel Core i7 processor
,,,,Intel Core i7 Processor (11th Gen)
,,,,16 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,512 GB SSD
,,,,35.56 cm (14 inch) Touchscreen Display
,,,,Microsoft Office Home and Student 2019
,,,,1 Year Onsite Warranty
,,
DELL Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10) INSPIRON 3501 Thin and Light Laptop,,"Rs. 43,990",https://rukminim1.flixcart.com/image/312/312/kp4difk0/computer/q/g/m/inspiron-3501-notebook-dell-original-imag3evhqhj8ypnk.jpeg?q=70,Intel Core i3 Processor (11th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,1 TB HDD
,,,,39.62 cm (15.6 Inch) Display
,,,,1 Year Onsite Warranty
,,
DELL Vostro Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10) VOSTRO 3400 Thin and Light Laptop,4.2,"Rs. 40,990",https://rukminim1.flixcart.com/image/312/312/krf91u80/computer/2/m/b/na-thin-and-light-laptop-dell-original-imag585xzyrystrc.jpeg?q=70,Intel Core i3 Processor (11th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,256 GB SSD
,,,,35.56 cm (14 inches) Display
,,,,1 Year Onsite Warranty
,,
HP Pavilion Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce ...,,"Rs. 69,990",https://rukminim1.flixcart.com/image/312/312/krjjde80/computer/b/q/h/na-gaming-laptop-hp-original-imag5bg5uwgmhmqj.jpeg?q=70,Intel Core i5 Processor (10th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,1 TB HDD|256 GB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,"Microsoft Office Home & Student 2019, HP Documentation, HP e-service, HP BIOS Recovery, HP SSRM, HP Smart, HP Jumpstart, HP Support Assistant"
,,,,1 Year Onsite Warranty
,,
MSI Stealth 15M Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 30...,4,"Rs. 1,34,990",https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/i/h/u/stealth-15m-a11uek-227in-notebook-msi-original-imag2q57shrhyszs.jpeg?q=70,Intel Core i7 Processor (11th Gen)
,,,,16 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,1 TB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,"Silver-Lining Print, Cooler Boost, Audio Boost, Dragon Center, Nahimic 3"
,,,,2 Year Warranty Term for Gaming & Content Creation (EU-WE)
,,
HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15s-GY0501AU Thin and Light Laptop,,"Rs. 39,009",https://rukminim1.flixcart.com/image/312/312/ktaeqvk0/computer/b/7/4/15s-gy0501au-thin-and-light-laptop-hp-original-imag6z6muntqnzzc.jpeg?q=70,AMD Ryzen 3 Dual Core Processor
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,256 GB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,Office Home and Student 2019 included
,,,,1 Year Onsite Warranty
,,
HP 14s Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) 14s-fq1030AU Thin and Light Laptop,4.3,"Rs. 51,990",https://rukminim1.flixcart.com/image/312/312/kgzg8sw0/computer/z/j/j/hp-14s-fr0009au-laptop-original-imafx3rhqwgwzwgy.jpeg?q=70,AMD Ryzen 5 Hexa Core Processor
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,512 GB SSD
,,,,35.56 cm (14 Inch) Display
,,,,"McAfee LiveSafe (30 day Free trial), Microsoft Office Home & Student 2019, HP Documentation, HP Smart, HP Support Assistant, HP SSRM"
,,,,1 Year Onsite Warranty
,,
Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 15IML05 Thin and Light Laptop,,"Rs. 39,990",https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70,Intel Core i3 Processor (10th Gen)
,,,,8 GB DDR4 RAM
,,,,Windows 10 Operating System
,,,,256 GB SSD
,,,,39.62 cm (15.6 Inch) Display
,,,,Microsoft Office Home & Student 2019
,,,,1 Year Warranty Term
,,
lenovo Ideapad Slim 5i Core i5 11th Gen Intel EVO - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15ITL05...,4.4,"Rs. 68,500",https://rukminim1.flixcart.com/image/312/312/klfhk7k0/computer/w/u/x/na-thin-and-light-laptop-lenovo-original-imagyk4hedcydqx5.jpeg?q=70,Intel Evo platform feat 11th Gen Intel Core i5 processor
,,,,Intel Core i5 Processor (11th Gen)
,,,,8 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,1 TB HDD|256 GB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,Microsoft Office Home and Student 2019
,,,,1 Year Onsite Warranty
,,
HP Pavilion Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce R...,4.8,"Rs. 89,990",https://rukminim1.flixcart.com/image/312/312/kbqu4cw0/computer/q/x/r/hp-original-imaftyzachgrav8f.jpeg?q=70,AMD Ryzen 7 Octa Core Processor
,,,,16 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,512 GB SSD
,,,,39.62 cm (15.6 inches) Display
,,,,"HP Documentation, HP e-service, HP BIOS recovery, HP SSRM, HP Smart, HP Jumpstarts"
,,,,1 Year Onsite Warranty
,,
ASUS ASUS TUF Gaming Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce...,4.8,"Rs. 68,990",https://rukminim1.flixcart.com/image/312/312/ks4yz680/computer/e/i/g/fx506hcb-hn228t-gaming-laptop-asus-original-imag5s2cgufffmv7.jpeg?q=70,Intel Core i5 Processor (10th Gen)
,,,,16 GB DDR4 RAM
,,,,64 bit Windows 10 Operating System
,,,,512 GB SSD
,,,,39.62 cm (15.6 inch) Display
,,,,1 Year Onsite Warranty
,,
HP 15s Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-GR0012AU Laptop,4.3,"Rs. 43,499",https://rukminim1.flixcart.com/image/312/312/kk2wl8w0/computer/z/u/5/hp-original-imafzgdgcbtxvjka.jpeg?q=70,AMD Ryzen 3 Dual Core Processor
,,,,8 GB DDR4 RAM
