,4k,PRODUCT NAME,PRODUCT PRICE,PRODUCT RATING,URL,alexa,brand,hd,screen_size
0,1.0,samsung 108 cm (43 inches) the frame series 4k ultra hd smart qled tv qa43ls03aaklxl (black) (2021 model),61990, ,https://m.media-amazon.com/images/I/71YDVrHosvS._AC_UY218_.jpg,0,samsung,0.0,43
1,0.0,samsung 80 cm (32 inches) wondertainment series hd ready led smart tv ua32te40aakbxl (titan gray) (2020 model),19240, ,https://m.media-amazon.com/images/I/81N8UlFd0kL._AC_UY218_.jpg,0,samsung,1.0,32
2,0.0,mi 80 cm (32 inches) hd ready android smart led tv 4a pro | l32m5-al (black),16999, ,https://m.media-amazon.com/images/I/71Z+l05eSIS._AC_UY218_.jpg,0,mi,1.0,32
3,0.0,eairtec 61 cms (24 inches) hd ready led tv 24dj (black) (2020 model),7850,4.0,https://m.media-amazon.com/images/I/71FutyZQeXL._AC_UY218_.jpg,0,eairtec,1.0,24
4,0.0,lg 80 cm (32 inches) hd ready smart led tv 32lm563bptc (dark iron gray) (2020 model),17999, ,https://m.media-amazon.com/images/I/71uKCdULRgL._AC_UY218_.jpg,0,lg,1.0,32
5,0.0,oneplus 80 cm (32 inches) y series hd ready led smart android tv 32y1 (black) (2020 model),18999,4.2,https://m.media-amazon.com/images/I/71vZypjNkPS._AC_UY218_.jpg,0,oneplus,1.0,32
6,0.0,oneplus 108 cm (43 inches) y series full hd led smart android tv 43y1 (black) (2020 model),29499,4.2,https://m.media-amazon.com/images/I/71vZLIfj5yS._AC_UY218_.jpg,0,oneplus,1.0,43
7,0.0,samsung 80 cm (32 inches) wondertainment series hd ready led smart tv ua32te40aakbxl (titan gray) (2020 model),19240, ,https://m.media-amazon.com/images/I/81N8UlFd0kL._AC_UY218_.jpg,0,samsung,1.0,32
8,0.0,eairtec 102 cms (40 inches) hd ready smart led tv 40djsm (black) (2020 model),15350,3.9,https://m.media-amazon.com/images/I/61rLf+-jsWL._AC_UY218_.jpg,0,eairtec,1.0,40
9,0.0,tcl 107.86 cm (43 inches) full hd led certified android smart tv p30 43p30fs (black),23999,4.0,https://m.media-amazon.com/images/I/81SQ3nSk7rL._AC_UY218_.jpg,0,tcl,1.0,43
10,1.0,samsung 108 cm (43 inches) crystal 4k series ultra hd smart led tv ua43aue60aklxl (black) (2021 model),38990, ,https://m.media-amazon.com/images/I/61GwJAhftvS._AC_UY218_.jpg,0,samsung,0.0,43
11,0.0,samsung 138 cm (55 inches) wondertainment series ultra hd led smart tv ua55tue60akxxl (titan gray) (2020 model),51999, ,https://m.media-amazon.com/images/I/71Gp8RVxmhL._AC_UY218_.jpg,0,samsung,1.0,55
12,0.0,tcl 100 cm (40 inches) full hd certified android smart led tv 40s6500fs (black) (2020 model),24999,4.2,https://m.media-amazon.com/images/I/71WFfsR5sRL._AC_UY218_.jpg,0,tcl,1.0,40
13,0.0,vw 60 cm (24 inches) hd ready led tv vw24a (black) (2021 model),8999, ,https://m.media-amazon.com/images/I/81FjmqtQUjL._AC_UY218_.jpg,0,vw,1.0,24
14,0.0,vu 108 cm (43 inches) full hd ultraandroid led tv 43ga (black) (2019 model),26990, ,https://m.media-amazon.com/images/I/71ka35uD4QL._AC_UY218_.jpg,0,vu,1.0,43
15,0.0,samsung 80 cm (32 inches) wondertainment series hd ready led smart tv ua32t4340akxxl (glossy black) (2020 model),18290, ,https://m.media-amazon.com/images/I/71fEd9glTIL._AC_UY218_.jpg,0,samsung,1.0,32
16,0.0,lg 108 cm (43 inches) full hd led smart tv 43lm5650pta (ceramic black) (2020 model),33990, ,https://m.media-amazon.com/images/I/7173oa2fxXL._AC_UY218_.jpg,0,lg,1.0,43
17,1.0,mi 108 cm (43 inches) 4k ultra hd android smart led tv 4x|l43m4-4ain (black),29999, ,https://m.media-amazon.com/images/I/612oGaxp3DS._AC_UY218_.jpg,0,mi,0.0,43
18,0.0,mi 108 cm (43 inches) full hd android smart led tv 4a pro|l43m5-an (black),26999, ,https://m.media-amazon.com/images/I/71deZZ0oDMS._AC_UY218_.jpg,0,mi,1.0,43
19,0.0,eairtec 81 cms (32 inches) hd ready smart led tv 32djsm (black) (2020 model),11699,3.9,https://m.media-amazon.com/images/I/61LHJpk2HfL._AC_UY218_.jpg,0,eairtec,1.0,32
20,0.0,croma 80 cm (32 inches) hd ready led tv crel7369 (black) (2021 model),12990, ,https://m.media-amazon.com/images/I/71MjjIugSbL._AC_UY218_.jpg,0,croma,1.0,32
21,1.0,philips 126 cm (50 inches) 4k ultra hd led android smart tv 50put8215/94 (black) (2021 model) | with voice assistant,46999, ,https://m.media-amazon.com/images/I/71jj8z2WkxS._AC_UY218_.jpg,0,philips,0.0,50
22,1.0,samsung 125 cm (50 inches) crystal 4k series ultra hd smart led tv ua50aue60aklxl (black) (2021 model),51990, ,https://m.media-amazon.com/images/I/61GwJAhftvS._AC_UY218_.jpg,0,samsung,0.0,50
23,1.0,samsung 125 cm (50 inches) the frame series 4k ultra hd smart qled tv qa50ls03aaklxl (black) (2021 model),77990, ,https://m.media-amazon.com/images/I/71YDVrHosvS._AC_UY218_.jpg,0,samsung,0.0,50
24,0.0,samsung 80 cm (32 inches) hd ready led tv ua32t4010arxxl (black) (2020 model),16290,4.2,https://m.media-amazon.com/images/I/81N7bMl70HL._AC_UY218_.jpg,0,samsung,1.0,32
25,0.0,eairtec 81 cms (32 inches) hd ready led tv 32dj (black) (2020 model),10750,3.9,https://m.media-amazon.com/images/I/81t2A6uhm4L._AC_UY218_.jpg,0,eairtec,1.0,32
26,0.0,vw 80 cm (32 inches) hd ready led smart tv vw32s (black) (2021 model),12299, ,https://m.media-amazon.com/images/I/81P1pYfcJPL._AC_UY218_.jpg,0,vw,1.0,32
27,0.0,vw 60 cm (24 inches) hd ready smart led tv vw24s (black) (2021 model),10299, ,https://m.media-amazon.com/images/I/816HhfSBNxL._AC_UY218_.jpg,0,vw,1.0,24
28,0.0,iffalcon 80 cm (32 inches) hd ready android smart led tv 32f2a (black) (2021 model) | with built-in voice assistant,15999, ,https://m.media-amazon.com/images/I/81N5PxG5t5L._AC_UY218_.jpg,0,iffalcon,1.0,32
29,0.0,kodak 80 cm (32 inches) hd ready led tv kodak 32hdx900s (black),12499,4.1,https://m.media-amazon.com/images/I/811tmylJsgL._AC_UY218_.jpg,0,kodak,1.0,32
30,0.0,vw 80 cm (32 inches) hd ready led tv vw32a (black) (2021 model),10999, ,https://m.media-amazon.com/images/I/81xXlShklCL._AC_UY218_.jpg,0,vw,1.0,32
31,0.0,mi 80 cm (32 inches) horizon edition hd ready android smart led tv 4a|l32m6-ei (grey),17499, ,https://m.media-amazon.com/images/I/91EPNWiKDUL._AC_UY218_.jpg,0,mi,1.0,32
32,0.0,tcl 100 cm (40 inches) full hd certified android smart led tv 40s6500fs (black) (2020 model),24999,4.2,https://m.media-amazon.com/images/I/71WFfsR5sRL._AC_UY218_.jpg,0,tcl,1.0,40
33,0.0,sanyo 108 cm (43 inches) kaizen series full hd certified android led tv xt-43fhd4s (black) (2020 model),26999, ,https://m.media-amazon.com/images/I/81CU76hBEyL._AC_UY218_.jpg,0,sanyo,1.0,43
34,0.0,kodak 102 cm (40 inches) full hd certified android led tv 40fhdx7xpro (black) (2020 model),20989, ,https://m.media-amazon.com/images/I/81A0bCUfYAL._AC_UY218_.jpg,0,kodak,1.0,40
35,0.0,eairtec 81 cm (32 inches) hd ready smart led tv 32 sm vc (black) (2020 model) | with voice command remote,12500,4.1,https://m.media-amazon.com/images/I/717-FdDErmL._AC_UY218_.jpg,0,eairtec,1.0,32
36,1.0,amazonbasics 127cm (50 inch) 4k ultra hd smart led fire tv ab50u20ps (black),38999,4.1,https://m.media-amazon.com/images/I/71AqQyCMmeL._AC_UY218_.jpg,0,amazonbasics,0.0,50
37,0.0,iffalcon 103 cm (40 inches) full hd android smart led tv 40f2a (black) (2021 model) | with built-in voice assistant,22999, ,https://m.media-amazon.com/images/I/81N5PxG5t5L._AC_UY218_.jpg,0,iffalcon,1.0,40
38,0.0,toshiba 80 cm (32 inches) vidaa os series hd ready smart ads led tv 32l5050 (black) (2020 model),15990, ,https://m.media-amazon.com/images/I/613ANDbJO-S._AC_UY218_.jpg,0,toshiba,1.0,32
39,1.0,lg 108 cm (43 inches) 4k ultra hd smart led tv 43up7500ptz (rocky black) (2021 model),38990,4.2,https://m.media-amazon.com/images/I/81e0B7ek-8L._AC_UY218_.jpg,0,lg,0.0,43
40,0.0,vw 100 cms (40 inches) hd ready smart led tv vw40s (black) (2021 model),16799, ,https://m.media-amazon.com/images/I/81epE6a2PyL._AC_UY218_.jpg,0,vw,1.0,40
