title,description,location,features,date,price
// Monsoon special Discount _ Call now // 42'' ultra hd resolution led,Contact no. please check listing images  call me now for best offers  New imported Panel Led Tv's  All Types Size Led Tv Available  32'' Smart android frameless Rs. 11999  43'' Smart android frameless Rs. 17999  50'' Smart android frameless Rs. 26999  1 year warranty  Home Delivery Available  Same Day Delivery  Cash On Delivery available  Shipping Charge EXTRA,2021-09-23T07:35:29+0000,"₹ 11,499"
"40 inch Smart LED TV Quad core processor, Brand New latest features","WE ARE OFFERING LOWEST PRICE OF SMART LED TV PRICE JUST AT 11,499 Only/-  15 Outlets In Delhi NCR  Thin Bezel Frame IPS 4K A+ Grade panel Smooth User Interface Easy Screencast Over WiFi Download and Updates Apps Google Android Operating system.  24 inch LED NORMAL TV  32 inch LED NORMAL TV  32 inch LED SMART TV  40 inch SMART TV  50 inch SMART TV  55 inch SMART TV  2 HDMI  2 AV  2 USB  1 VGA  SMART TV  YOUTUBE  NETFLIX  HOTSTAR  AMAZON PRIME AND MORE  => Fully sanitised Outlets and Fully sanitised Stores  => 15 Outlets In Delhi NCR",2021-09-23T07:31:53+0000,"₹ 13,999"
// Monsoon special offer _ Buy now 32'' android 9.0 loaded led tv 4k,Contact no. please check listing images  call me now for best offers  New imported Panel Led Tv's  All Types Size Led Tv Available  32'' Smart android frameless Rs. 11999  43'' Smart android frameless Rs. 17999  50'' Smart android frameless Rs. 26999  1 year warranty  Home Delivery Available  Same Day Delivery  Cash On Delivery available  Shipping Charge EXTRA,2021-09-23T07:31:10+0000,"₹ 9,999"
TVs Jupiter 2015 Model first owner seal pack engine,Available for sale good condition no message direct call me,2021-09-23T07:31:00+0000,"₹ 31,000"
Brand new LED TV // Monsoon special offer // 32'' android smart led tv,Contact no. please check listing images  call me now for best offers  New imported Panel Led Tv's  All Types Size Led Tv Available  32'' Smart android frameless Rs. 11999  43'' Smart android frameless Rs. 17999  50'' Smart android frameless Rs. 26999  1 year warranty  Home Delivery Available  Same Day Delivery  Cash On Delivery available  Shipping Charge EXTRA,2021-09-23T07:30:16+0000,"₹ 9,999"
Bluetooth speaker,Jbl go 3 bluetooth speaker blue colour 1 day old,2021-09-23T07:25:13+0000,"₹ 3,000"
42 inch Android Sony panel LED TV,One year warranty two months replacement with bill  Flat screen TV Visit have free live demo  All size available 24 to 55 inch       Full screen TV HD quality     HDMI port  Updated version 4K Sapported USB cable  Bank account transfer    Credit debit card accepted    Internet connection amazing Kashish enterprise   Quality best 7 days open Sound quality best       Amazing price,2021-09-23T07:23:22+0000,"₹ 12,000"
32 inches smart Full HD Brand new LED TV ( 2021 edition _ Mega offer ),"WE ARE OFFERING LOWEST PRICE OF SMART LED TV PRICE JUST AT 11,499 Only/-  15 Outlets In Delhi NCR  Thin Bezel Frame IPS 4K A+ Grade panel Smooth User Interface Easy Screencast Over WiFi Download and Updates Apps Google Android Operating system.  24 inch LED NORMAL TV  32 inch LED NORMAL TV  32 inch LED SMART TV  40 inch SMART TV  50 inch SMART TV  55 inch SMART TV  2 HDMI  2 AV  2 USB  1 VGA  SMART TV  YOUTUBE  NETFLIX  HOTSTAR  AMAZON PRIME AND MORE  => Fully sanitised Outlets and Fully sanitised Stores  => 15 Outlets In Delhi NCR",2021-09-23T07:22:16+0000,"₹ 11,499"
LED Tv 50 INCHES 4K ULTRA SLIM WITH WARRANTY,"——  SATNAAM TRADERS  ——  ALL TYPES OF BRANDED REFRIGERATORS,WASHING MACHINE ,HOME THEATRE, AIR CONDITIONER AND AIR PURIFIER. BRANDS LIKE SAMSUNG, WHIRLPOOL, GODREJ, PANASONIC , HAIER , LG , VOLTAS , DAIKIN, MITSIUBISHI AND BOSCH .",2021-09-15T19:28:15+0000,"₹ 19,500"
Brand New 42 inches slim display Smart LED TV at Wholesale Price,"》 WE ARE OFFERING UPTO 70% OFF   》 Lowest Price Guaranteed in Delhi/NCR   》 Size 24&quot; to 65&quot; Available   》 Free Table stand + Free WALLMOUNT  》 4K Quality TV   》 Android Version 8.0  》 High Speed Internet  》Wireless Display  》 IPS 4K A+ Grade panel  》 Smooth User Interface  》 Amazon prime,Netflix,Zee5,Youtube.  》Download and Apps updates   》 PAYMENT MODE: Cash,Card,Online Transfer,Paytm  》 Home delivery Available   》 Dolby Digital Sound  》 Sound bar inbuilt   》 2 Montha replacement guarante and 1 year warranty   》 Although you can extend your warranty till 5 years  》 Visit and have free live demo  》 Fully Sanitized Outlet",2021-08-24T09:40:55+0000,"₹ 12,990"
40 inches 4K smart Uhd Led tv ( Box packed - Android 9.0 ) Buy now,Contact no. please check listing images  call me now for best offers  New imported Panel Led aTv's  All Types Size Led Tv Available  32'' Smart android frameless Rs. 11999  43'' Smart android frameless Rs. 17999  50'' Smart android frameless Rs. 26999  1 year warranty  Home Delivery Available  Same Day Delivery  Cash On Delivery available  Shipping Charge EXTRA,2021-09-16T10:14:57+0000,"₹ 12,499"
